,Crypto,Mark_Price,AccountMaster_Balance,FTX_Balance,Unrealised Pnl,Position Size,Position Hedge
0,BTC,63229.0,52.7815798500,45.61295261,0.5256908242596403,1.9597811130968386,-1.0648
1,ETH,2430.9,2.5700582600,20.52702206,3.8610750507169644,17.455674852935125,-14.0
2,USD,1.0,,-2968.48012564,,,
