,Crypto,Mark_Price,AccountMaster_Balance,FTX_Balance,Unrealised Pnl,Position Size,Position Hedge
0,BTC,56767.0,54.9572364300,45.61295261,-1.2524915283008888,80.50693184420525,74.5352
1,ETH,2240.8,2.3055400700,20.52702206,2.291126281278906,20.275348089967867,-14.0
2,USD,1.0,,17124.99243828,,,
