,Crypto,Mark_Price,AccountMaster_Balance,FTX_Balance,Unrealised Pnl,Position Size,Position Hedge
0,BTC,50879.0,47.1186470600,45.61295261,-5.477734877174054,48.79962263409265,72.5352
1,ETH,2333.9,1.8602256000,20.52702206,2.9693243872240225,19.038090749389433,-14.0
2,USD,1.0,,-426000.56712882,,,
