,Crypto,Mark_Price,AccountMaster_Balance,FTX_Balance,Unrealised Pnl,Position Size,Position Hedge
0,BTC,56864.0,54.9574005700,45.61295261,-1.11516083772535,80.36960115362972,74.5352
1,ETH,2246.2,2.3055400700,20.52702206,2.339869438471418,20.226604932775356,-14.0
2,USD,1.0,,23686.45030266,,,
