,Crypto,Mark_Price,AccountMaster_Balance,FTX_Balance,Unrealised Pnl,Position Size,Position Hedge
0,BTC,50854.0,47.1190615900,45.61295261,-5.501724938247962,48.82361269516655,71.5352
1,ETH,2335.5,1.8602256000,20.52702206,2.982366967056615,19.02504816955684,-14.0
2,USD,1.0,,-428797.83992882,,,
