,Crypto,Mark_Price,AccountMaster_Balance,FTX_Balance,Unrealised Pnl,Position Size,Position Hedge
0,BTC,49938.0,47.1118281300,45.61295261,-6.390654463563016,49.79502583203172,41.5352
1,ETH,2245.5,1.8602256000,20.52702206,2.2198399863128535,19.7875751503006,-14.0
2,USD,1.0,,28429.42188508,,,
