,Crypto,Mark_Price,AccountMaster_Balance,FTX_Balance,Unrealised Pnl,Position Size,Position Hedge
0,BTC,52166.0,45.5874447700,45.10295261,-4.307167197608061,46.269792585208755,30.9352
1,ETH,2449.4,1.7454380700,20.52702206,3.918578609509759,17.732097656568953,-14.0
2,USD,1.0,,117346.36677363,,,
