,UserID,Crypto,Balance
0,38B1FF399D73C6,BTC,41.4757323700
1,38B3ABB69DFC31,BTC,2.9994966900
2,3969EC623B6A95,BTC,1.1084647800
3,39749DBD9332FF,BTC,1.1000000000
4,396D5B551C5881,BTC,1.0045000000
5,3968246E1EEA05,BTC,1.0021344000
6,396F3A196ED8D1,BTC,1.0006000000
7,3973E1EEE1A11A,BTC,1.0000000000
8,3972FF462472EB,BTC,0.9836855200
9,397132D3562253,BTC,0.7864513900
10,38B1E906E940DF,BTC,0.2625000900
11,395FFA60607288,BTC,0.0372830800
12,3965681227AC72,BTC,0.0182183400
13,3967FE29D0E2E4,BTC,0.0154214400
14,39703C830F839B,BTC,0.0086589900
15,396B32725184AB,BTC,0.0073558100
16,396654E4C2E412,BTC,0.0060220000
17,3971E6346165F9,BTC,0.0046831900
18,38C322C595A9A6,BTC,0.0042398400
19,3965848283A132,BTC,0.0034889400
20,38DC737888A250,BTC,0.0033774000
21,38EEAA534A8590,BTC,0.0031701900
22,38E711259792D5,BTC,0.0030433400
23,38E3EEC86B3278,BTC,0.0030265300
24,38E61ED8564844,BTC,0.0028531900
25,38DE2963E3B8DF,BTC,0.0028203600
26,38CD161D070498,BTC,0.0027258600
27,38D4ABED24B339,BTC,0.0027010500
28,38CCA443025F8B,BTC,0.0026917300
29,38D1C1F8564706,BTC,0.0026811900
30,38D988B31DBAA2,BTC,0.0026163600
31,38EF3C65B634BF,BTC,0.0025851400
32,38D983C4EB8F82,BTC,0.0025237200
33,38E4EC7C9794D3,BTC,0.0023684400
34,38DEE25C9FD797,BTC,0.0021246800
35,38D6C9E8A43F00,BTC,0.0020617300
36,38DCB7C8F8F83B,BTC,0.0020005300
37,38CAC4423B7772,BTC,0.0019530900
38,38CEE0F2AA6A4E,BTC,0.0019369600
39,38C78CA8899732,BTC,0.0019340800
40,38CFDA2715D4B6,BTC,0.0019133400
41,38CD5A3438C22B,BTC,0.0019132700
42,38D8E3BBAA0BA4,BTC,0.0019061300
43,38D5DA5825F154,BTC,0.0018318100
44,38CFD770018C26,BTC,0.0017764800
45,38CF624AACA56B,BTC,0.0017622300
46,38C7615D625C88,BTC,0.0017579100
47,38CAB23EAD2385,BTC,0.0017239300
48,38C6A9B21B16A3,BTC,0.0016924700
49,38C8A73F5700F6,BTC,0.0016625600
50,38C64190ED8C9D,BTC,0.0016465900
51,38BD88652C3E2F,BTC,0.0016381800
52,38D10B6070B5B2,BTC,0.0016376400
53,38C635A9E5D6B0,BTC,0.0016262700
54,38C6049E470D5E,BTC,0.0016253200
55,38C3551B9789A8,BTC,0.0016209600
56,38CAC2A995CD73,BTC,0.0016207300
57,3905997B1BD435,BTC,0.0016170300
58,38CB8276BA5277,BTC,0.0016130900
59,38CFFBB39406FB,BTC,0.0016110600
60,38CBAA5FDC72AA,BTC,0.0016074300
61,38D1D8D6F27844,BTC,0.0016063400
62,38CA23173ACCB8,BTC,0.0016052100
63,38C28A7565EC2B,BTC,0.0016023800
64,38C4A323884108,BTC,0.0015927000
65,38C19C50F634E6,BTC,0.0015764300
66,38CF700E561EE6,BTC,0.0015740300
67,38C8C419A74164,BTC,0.0015590900
68,38C33F38F900FB,BTC,0.0015498100
69,38D5D48EF7B613,BTC,0.0015469400
70,38CF5B50252733,BTC,0.0015323700
71,38B893FC081F6D,BTC,0.0015244300
72,38BAE94939CEEF,BTC,0.0015216100
73,38BFF40DAA10DA,BTC,0.0015114600
74,38C40398D67721,BTC,0.0015108500
75,38C47E145BE342,BTC,0.0015103900
76,38CA45E30447FC,BTC,0.0015058800
77,38CD5B78E2F28A,BTC,0.0015018500
78,38D1AFEAB82411,BTC,0.0014986500
79,38C2F6C940995E,BTC,0.0014983400
80,38C312AA94C64B,BTC,0.0014964500
81,38BFBBBA1464A2,BTC,0.0014942600
82,38BD4445B977A8,BTC,0.0014941300
83,38BEFBC03D7687,BTC,0.0014930300
84,38BF16F11164C3,BTC,0.0014919200
85,38BEF1F9B3B14D,BTC,0.0014914700
86,38BD77A1F76F8B,BTC,0.0014907900
87,38ED185063E545,BTC,0.0014824100
88,38C5CE7FCECC86,BTC,0.0014725200
89,38D10A1F03A125,BTC,0.0014717600
90,38CD870E2D3F5E,BTC,0.0014676800
91,38C9B3B666C812,BTC,0.0014638200
92,38C67F994DE7F3,BTC,0.0014516100
93,38D4383A7A2BC7,BTC,0.0014500000
94,38CD603BE6477D,BTC,0.0014442300
95,38CF5676697330,BTC,0.0014298700
96,38C340A632378E,BTC,0.0014249300
97,38D59848AB3B47,BTC,0.0014175600
98,38D580E7B6939C,BTC,0.0014168500
99,38C2C85FC566C4,BTC,0.0014125900
100,38E53DE2C2FAC6,BTC,0.0013925900
101,38CE4AD8BF8564,BTC,0.0013910700
102,38C35405203CC1,BTC,0.0013845100
103,38CF35FF4AC24F,BTC,0.0013752300
104,38D4B19793833B,BTC,0.0013732800
105,38D11B654B7AB1,BTC,0.0013599400
